Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Phases	Study Type	Locations	URL
805	NCT04333589	Corona Virus Disease 2019 Patients Whose Nucleic Acids Changed From Negative to Positive	Recruiting	No Results Available	COVID-19	Drug: Favipiravir	Not Applicable	Interventional	"The Second People's Hospital of Fuyang, Fuyang, Anhui, China|Ezhou Hospital of Traditional Chinese Medicine, Ezhou, Hubei, China|Ezhou Central Hospital, Wuhan, Hubei, China|Huoshenshan Hospital of Wuhan, Wuhan, Hubei, China|Jinyintan Hospital of Wuhan, Wuhan, Hubei, China|Wuhan Pulmonary Hospital, Wuhan, Hubei, China|Zhongnan Hospital of Wuhan University, Wuhan, Hubei, China|Wenzhou Medical University Affiliated First Hospital, Wenzhou, Zhejiang, China"	https://ClinicalTrials.gov/show/NCT04333589
806	NCT04371107	Proactive Care of Ambulatory COVID19 Patients	Not yet recruiting	No Results Available	Covid19|Azithromycin|Ambulatory	Other: consultation|Drug: Azithromycin	Phase 3	Interventional	"CHU Amiens, Amiens, France"	https://ClinicalTrials.gov/show/NCT04371107
807	NCT04310228	Favipiravir Combined With Tocilizumab in the Treatment of Corona Virus Disease 2019	Recruiting	No Results Available	COVID-19	Drug: Favipiravir Combined With Tocilizumab|Drug: Favipiravir|Drug: Tocilizumab	Not Applicable	Interventional	"Guiqiang Wang, Beijing, Beijing, China|Peking University First Hospital, Beijing, Beijing, China|Ezhou Central Hospital, Wuhan, Hubei, China|Huoshenshan Hospital of Wuhan, Wuhan, Hubei, China|Jinyintan Hospital of Wuhan, Wuhan, Hubei, China|Wuhan Pulmonary Hospital, Wuhan, Hubei, China"	https://ClinicalTrials.gov/show/NCT04310228
808	NCT04302519	Novel Coronavirus Induced Severe Pneumonia Treated by Dental Pulp Mesenchymal Stem Cells	Not yet recruiting	No Results Available	COVID-19	Biological: Dental pulp mesenchymal stem cells	Early Phase 1	Interventional		https://ClinicalTrials.gov/show/NCT04302519
809	NCT04295551	Multicenter Clinical Study on the Efficacy and Safety of Xiyanping Injection in the Treatment of New Coronavirus Infection Pneumonia (General and Severe)	Not yet recruiting	No Results Available	COVID-19	Drug: Lopinavir / ritonavir tablets combined with Xiyanping injection|Drug: Lopinavir/ritonavir treatment	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04295551
810	NCT04399889	hCT-MSCs for COVID19 ARDS	Recruiting	No Results Available	COVID|Corona Virus Infection|COVID19	Biological: human cord tissue mesenchymal stromal cells	Phase 1|Phase 2	Interventional	"Duke Hospital, Durham, North Carolina, United States"	https://ClinicalTrials.gov/show/NCT04399889
811	NCT04369794	"COVID-19: BCG As Therapeutic Vaccine, Transmission Limitation, and Immunoglobulin Enhancement"	Not yet recruiting	No Results Available	COVID-19|Therapeutic Vaccine|BCG|SARS-CoV 2|Transmission	Biological: BCG|Biological: Placebo	Phase 4	Interventional	"Hospital das Clínicas Unicamp, Campinas, SP, Brazil"	https://ClinicalTrials.gov/show/NCT04369794
812	NCT04402918	Study of Viral Load and Maternal-fetal Serology in the Interpretation of the Vertical Transmission of SARS Cov-2 (COVID-19) During Pregnancy	Recruiting	No Results Available	Sars-CoV2	Diagnostic Test: biological samples day of delivery	Not Applicable	Interventional	"Chu Besancon, Besancon, France"	https://ClinicalTrials.gov/show/NCT04402918
813	NCT04400929	Using GM-CSF as a Host Directed Therapeutic Against COVID-19	Not yet recruiting	No Results Available	"COVID|Sars-CoV2|ARDS, Human"	Drug: Sargramostim|Other: Normal Saline 0.9%	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04400929
814	NCT04359862	Sedation With Sevoflurane Versus Propofol in Patients With Acute Respiratory Distress Syndrome Caused by COVID19 Infection	Recruiting	No Results Available	Acute Respiratory Distress Syndrome|COVID19 Infection	Drug: Sevoflurane|Drug: Propofol	Phase 4	Interventional	"Hospital Universitario Ramón y Cajal, Madrid, Spain|Hospital Universitario La Paz, Madrid, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital Clínico Universitario de Valencia, Valencia, Spain|Hospital General Universitario de Valencia, Valencia, Spain"	https://ClinicalTrials.gov/show/NCT04359862
815	NCT04310865	Yinhu Qingwen Granula for the Treatment of Severe CoVID-19	Suspended	No Results Available	COVID-19|Severe Pneumonia|Chinese Medicine	Drug: Yinhu Qingwen Granula|Drug: Yin Hu Qing Wen Granula(low does)|Other: standard medical treatment	Phase 2|Phase 3	Interventional	"Wuhan No.7 Hospital/Jizhong Energy Fengfeng Group Hospital, Wuhan, Hubei, China|Wuhan No.7 Hospital/North China University of Science and Technology Affiliated Hospital, Wuhan, Hubei, China|Zhongnan Hospital of Wuhan University/Tanshan People's Hospital, Wuhan, Hubei, China|Wuhan Leishenshan (Thunder God Mountain) Hospital/The First Affiliated Hospital of Dalian Medical University, Wuhan, Hubei, China"	https://ClinicalTrials.gov/show/NCT04310865
816	NCT04331613	Safety and Efficacy of CAStem for Severe COVID-19 Associated With/Without ARDS	Recruiting	No Results Available	COVID-19|Acute Respiratory Distress Syndrome|Virus; Pneumonia|Acute Lung Injury	Biological: CAStem	Phase 1|Phase 2	Interventional	"Beijing YouAn Hospital, Capital Medical University, Beijing, Beijing, China, China"	https://ClinicalTrials.gov/show/NCT04331613
817	NCT04392232	A Study of COVID 19 Convalescent Plasma in High Risk Patients With COVID 19 Infection	Recruiting	No Results Available	Coronavirus|COVID-19|Convalescent Plasma	Drug: Convalescent Plasma	Phase 2	Interventional	"Good Samaritan Hospital, Cincinnati, Ohio, United States|Bethesda North Hospital, Cincinnati, Ohio, United States"	https://ClinicalTrials.gov/show/NCT04392232
818	NCT04405934	COG-UK Project Hospital-Onset COVID-19 Infections Study	Not yet recruiting	No Results Available	Covid-19|Nosocomial Infection|Coronavirus|Coronavirus Infection|SARS-CoV 2	Other: Use of virus (Covid-19) genome sequence report to inform infection prevention control procedures	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04405934
819	NCT04351789	Impact of a Minimal Psychoeducational Intervention on Anxiety Among Hospitalized COVID-19 Patients in Denmark	Not yet recruiting	No Results Available	COVID-19|Mental Health|Psychoeducation|Anxiety	Other: Psychoeducational intervention	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04351789
820	NCT04324021	Efficacy and Safety of Emapalumab and Anakinra in Reducing Hyperinflammation and Respiratory Distress in Patients With COVID-19 Infection.	Recruiting	No Results Available	SARS-CoV-2	Biological: Emapalumab|Biological: Anakinra	Phase 2|Phase 3	Interventional	"ASST Spedali Civili di Brescia Dipartimento di Reumatologia e Immunologia Clinica, Brescia, Italy|Ospedale Maggiore Policlinico, Dipartimento di Anestesia-Rianimazione e Medicina di Urgenza, Milano, Italy|Azienda Ospedaliero-Universitaria di Parma, Dipartimento di Malattie infettive ed epatologia, Parma, Italy|Ospedale Lazzaro Spallanzani, Dipartimento di Malattie Infettive ad alta Intensità di cura ed altamente contagiose,Ospedale Lazzaro Spallanzani, Roma, Italy"	https://ClinicalTrials.gov/show/NCT04324021
821	NCT04391179	Dipyridamole to Prevent Coronavirus Exacerbation of Respiratory Status (DICER) in COVID-19	Recruiting	No Results Available	COVID|Corona Virus Infection|Covid-19|SARS-CoV-2 Infection	Drug: Dipyridamole 100 Milligram(mg)|Drug: Placebo oral tablet	Phase 2	Interventional	"University of Michigan, Ann Arbor, Michigan, United States"	https://ClinicalTrials.gov/show/NCT04391179
822	NCT04361448	Performance of 3 Sampling Methods for the Detection of SARS-CoV-2 (COVID-19) With Real-time Reverse Transcriptase PCR	Not yet recruiting	No Results Available	Covid-19|SARS-CoV-2|Diagnosis|Polymerase Chain Reaction	Other: samling of oropharynx and nasopharynx	Not Applicable	Interventional	"Jessa Hospital, Hasselt, Belgium"	https://ClinicalTrials.gov/show/NCT04361448
823	NCT04319445	Mindfulness During COVID-19	Recruiting	No Results Available	Migraine Disorders|Stress|Anxiety	Behavioral: Mindfulness session(s)	Not Applicable	Interventional	"Wake Forest Health Sciences, Winston-Salem, North Carolina, United States"	https://ClinicalTrials.gov/show/NCT04319445
824	NCT04350450	Hydroxychloroquine Treatment of Healthcare Workers With COVID19 Illness at Montefiore	Withdrawn	No Results Available	COVID|Coronavirus|COVID-19	Drug: Hydroxychloroquine	Phase 2	Interventional	"Montefiore Medical Center, Bronx, New York, United States"	https://ClinicalTrials.gov/show/NCT04350450
825	NCT04319731	A Pilot Study of Human Amniotic Fluid for COVID19 Associated Respiratory Failure	Recruiting	No Results Available	SARS CoV-2 Infection	Biological: Human Amniotic Fluid	Early Phase 1	Interventional	"University of Utah Health, Salt Lake City, Utah, United States"	https://ClinicalTrials.gov/show/NCT04319731
826	NCT04334967	Hydroxychloroquine in Patients With Newly Diagnosed COVID-19 Compared to Standard of Care	Suspended	No Results Available	COVID-19|Corona Virus Infection|SARS-CoV-2|2019-nCoV|2019 Novel Coronavirus	Drug: Hydroxychloroquine|Dietary Supplement: Vitamin C	Phase 4	Interventional	"Portland Providence Medical Center, Portland, Oregon, United States"	https://ClinicalTrials.gov/show/NCT04334967
827	NCT04321928	Personalized Health Education Against the Health Damage of Novel Coronavirus (COVID-19) Outbreak in Hungary	Recruiting	No Results Available	SARS-CoV-2|Coronavirus|COVID-19|2019-nCoV|2019nCoV	Behavioral: Personalized health education|Behavioral: General health education	Not Applicable	Interventional	"Institute for Translational Medicine, University of Pécs, Pécs, Hungary"	https://ClinicalTrials.gov/show/NCT04321928
828	NCT04355429	Efficacy of Captopril in Covid-19 Patients With Severe Acute Respiratory Syndrome (SARS) CoV-2 Pneumonia (CAPTOCOVID)	Not yet recruiting	No Results Available	Pneumonia|Coronavirus Infection|COVID-19	Drug: captopril 25mg	Phase 2	Interventional	"CH Victor Dupuy- Argenteuil, Argenteuil, France|Hôpital Avicenne,, Bobigny, France|Hôpital Avicenne, Bobigny, France|Hôpital Avicenne, Bobigny, France|Hôpital Antoine Béclère, Clamart, France|CH de Compiègne-Noyon, Compiègne, France|Groupe hospitalier Sud Ile de France, Melun, France|Hôpital de la Pitié- Salpêtrière, Paris, France|Hôpital Tenon, Paris, France|CHRU de Tours, Hôpital Bretonneau, Tours, France|Hôpital de Tours, Tours, France"	https://ClinicalTrials.gov/show/NCT04355429
829	NCT04456088	Inhaled NO for the Treatment of COVID-19 Caused by SARS-CoV-2 (CANADA Trial)	Not yet recruiting	No Results Available	"COVID-19|SARS-CoV 2|Respiratory Disease|Pneumonia, Viral|Corona Virus Infection"	Combination Product: 150 ppm Nitric Oxide delivered through LungFit Delivery System|Combination Product: 80 ppm Nitric Oxide delivered through LungFit Delivery System	Phase 2	Interventional		https://ClinicalTrials.gov/show/NCT04456088
830	NCT04401150	Lessening Organ Dysfunction With VITamin C - COVID-19	Not yet recruiting	No Results Available	Vitamin C|COVID-19|Hospitalized Patients	Drug: Vitamin C|Drug: Control	Phase 3	Interventional	"Research Centre of the CHUS, Sherbrooke, Quebec, Canada"	https://ClinicalTrials.gov/show/NCT04401150
831	NCT04381338	Rehabilitation for People With COVID-19 in ICU	Not yet recruiting	No Results Available	Corona Virus Disease 19 (COVID-19)|COVID|Acute Lung Injury/Acute Respiratory Distress Syndrome (ARDS)|Critical Illness	Other: Pulmonary and Motor Rehabilitation	Not Applicable	Interventional	"Teaching Hospital, University of Padova, Padova, Italy|Teaching Hospital, University of Verona, Verona, Italy"	https://ClinicalTrials.gov/show/NCT04381338
832	NCT04363450	Hydroxychloroquine as Prophylaxis for COVID-19 in Healthcare Workers (HCQPreP)	Recruiting	No Results Available	COVID-19|Corona Virus Infection|Wuhan Coronavirus|Prophylaxis|Healthcare Worker|Sars-CoV2|Hydroxychloroquine	Drug: Hydroxychloroquine|Drug: Placebo	Phase 3	Interventional	"Lafayette General Medical Center, Lafayette, Louisiana, United States|University Hospital and Clinics, Lafayette, Louisiana, United States"	https://ClinicalTrials.gov/show/NCT04363450
833	NCT04414241	Hydroxychloroquine to Prevent SARS-CoV-2 Infection	Not yet recruiting	No Results Available	SARS-CoV-2	Drug: Hydroxychloroquine	Phase 3	Interventional	"Centro Médico Naval ""Cirujano Mayor Santiago Távara"", Callao, Peru|Hospital Nacional Hipólito Unanue, Lima, Peru|Hospital Nacional Arzobispo Loayza, Lima, Peru|Hospital Cayetano Heredia, Lima, Peru"	https://ClinicalTrials.gov/show/NCT04414241
834	NCT04452565	"NA-83, Atazanavir and Dexamethasone Combination Therapy for the Treatment of COVID-19 Infection (NATADEX)"	Recruiting	No Results Available	Coronavirus Infection|Severe Acute Respiratory Infection|Severe Acute Respiratory Syndrome Coronavirus 2	Drug: Drug: NA-831|Combination Product: NA-831 and Atazanavir|Combination Product: NA-831and Dexamethasone|Combination Product: Atazanavir and Dexamethasone	Phase 2|Phase 3	Interventional	"Coronavirus Research Institute, Sunnyvale, California, United States"	https://ClinicalTrials.gov/show/NCT04452565
835	NCT04370015	Hydroxychloroquine Chemoprophylaxis for COVID-19 Infection in High-risk Healthcare Workers.	Not yet recruiting	No Results Available	SARS-CoV-2|Healthcare Workers	Drug: Hydroxychloroquine|Drug: Placebo oral tablet	Not Applicable	Interventional		https://ClinicalTrials.gov/show/NCT04370015
836	NCT04335786	Valsartan for Prevention of Acute Respiratory Distress Syndrome in Hospitalized Patients With SARS-COV-2 (COVID-19) Infection Disease	Recruiting	No Results Available	Acute Respiratory Distress Syndrome|SARS-CoV-2|COVID|COVID-19|Severe Acute Respiratory Syndrome	Drug: Valsartan (Diovan)|Drug: Placebo oral tablet	Phase 4	Interventional	"Jeroen Bosch Ziekenhuis, 's-Hertogenbosch, Netherlands|Rijnstate, Arnhem, Netherlands|Radboudumc, Nijmegen, Netherlands|Laurentius Ziekenhuis, Roermond, Netherlands|Erasmus MC, Rotterdam, Netherlands|Franciscus Gasthuis, Rotterdam, Netherlands|Ikazia Ziekenhuis, Rotterdam, Netherlands"	https://ClinicalTrials.gov/show/NCT04335786
837	NCT04397497	Mavrilimumab in Severe COVID-19 Pneumonia and Hyper-inflammation (COMBAT-19)	Not yet recruiting	No Results Available	"Covid-19|Acute Respiratory Failure|ARDS, Human|Sars-CoV2|Viral Pneumonia"	Drug: Mavrilimumab|Drug: Placebo	Phase 2	Interventional	"IRCCS Policlinico San Donato, San Donato, MI, Italy|IRCCS Ospedale San Raffaele, Milano, Italy|IRCCS Istituto Ortopedico Galeazzi, Milano, Italy"	https://ClinicalTrials.gov/show/NCT04397497
838	NCT04327505	Safety and Efficacy of Hyperbaric Oxygen for ARDS in Patients With COVID-19	Recruiting	No Results Available	"SARS (Severe Acute Respiratory Syndrome)|Cytokine Storm|ARDS, Human|COVID-19|Sars-CoV2|Acute Respiratory Failure"	Drug: Hyperbaric oxygen	Phase 2|Phase 3	Interventional	"Bergmannsheil und Kinderklinik Buer GmbH, Gelsenkirchen, Germany|Krankenhaus St. Joesf, Regensburg, Germany|Blekingesjukhuset, Karlskrona, Blekinge, Sweden"	https://ClinicalTrials.gov/show/NCT04327505
839	NCT04453553	CICERO- A Care Home Study of COVID-19	Not yet recruiting	No Results Available	COVID	Diagnostic Test: Q16 testing|Diagnostic Test: Nasopharyngeal swab and main laboratory	Not Applicable	Interventional	"Queen Mary University London, London, United Kingdom"	https://ClinicalTrials.gov/show/NCT04453553
840	NCT04376476	Host-pathogen Interactions During SARS-CoV-2 Infection	Recruiting	No Results Available	"Infection, Coronavirus|Severe Acute Respiratory Syndrome Coronavirus 2"	Biological: Blood sample|Biological: Low or upper respiratory tract sample|Biological: Stool collection or fecal swab|Genetic: Blood sample for whole genome sequencing|Other: phone call	Not Applicable	Interventional	"Groupement Hospitalier Nord-Daupine, Bourgoin-Jallieu, France|Hôpital femme-mère-enfant, Bron, France|Hôpital Louis Pradel, Bron, France|Hôpital Louis Mourier, Colombes, France|Centre Hospitalo-Universitaire de Grenoble, La Tronche, France|Hopital de la Croix-Rousse, Lyon, France|Hôpital Edouard Herriot, Lyon, France|Hôpital mère - enfant Nantes, Nantes, France|Centre Hospitalier Lyon Sud, Pierre-Bénite, France|Hôpital Nord de Saint Etienne, Saint-Priest-en-Jarez, France|Hôpital Nord-Ouest, Villefranche-sur-Saône, France|Centre Hospitalier D'Annecy-Genevois, Épagny, France"	https://ClinicalTrials.gov/show/NCT04376476
